date,close,high,low,open,volume
2023-01-02,51925.33203125,52486.68697212838,51644.654560810806,51925.33203125,10031448
2023-01-03,51831.78125,52393.13628158845,50989.74870261733,51831.78125,13547030
2023-01-04,54077.203125,54264.32147491349,52018.90127595155,52112.46045090831,20188071
2023-01-05,54451.43359375,55012.78857925258,53890.07860824742,54451.43359375,15682826
2023-01-06,55199.9140625,55574.150768008476,54170.763122351695,54544.99982786017,17334989
2023-01-09,56790.41796875,56790.41796875,55761.26706651565,55854.82623944605,18640107
2023-01-10,56509.73828125,57164.65246662873,56041.94243455091,56322.61994257037,14859797
2023-01-11,56603.296875,57258.211053719,56416.17853822314,57071.09271694215,12310751
2023-01-12,56603.296875,57258.211053719,56041.94186466942,57164.651885330575,16102561
2023-01-13,56883.9765625,57258.21325041119,56509.73987458881,56603.29904656661,12510328
2023-01-16,57164.6484375,57632.4442512275,56883.9709492635,57351.766762991,10039972
2023-01-17,57071.09765625,57538.893538678276,56696.860950307375,57258.21600922131,9831456
2023-01-18,56509.73828125,57071.093297288906,56041.94243455091,56790.41578926946,11584041
2023-01-19,57538.88671875,57538.88671875,56509.73589939024,56603.29506478658,12808490
2023-01-20,57819.56640625,58287.36225096076,57164.652223654935,58100.243913076454,9646327
2023-01-25,59222.95703125,59597.19372655016,58942.27950977488,59410.07537890008,39217
2023-01-26,59690.75,59784.309169279,59222.95415360502,59690.75,54188
2023-01-27,60439.2265625,60813.463259481425,59784.312342782505,60252.108214009284,44282
2023-01-30,59222.95703125,60719.90381245063,59035.838683599926,60719.90381245063,59628
2023-01-31,57445.328125,59597.188950529315,57071.09145969056,59410.0706178746,163847
2023-02-01,57071.09765625,58661.603656506144,57071.09765625,58568.04448002049,98585
2023-02-02,59410.07421875,59784.310906742125,58568.04167076772,59129.396702755905,65992
2023-02-03,59410.07421875,59877.87007874016,58942.278358759846,59784.310906742125,47567
2023-02-06,57632.44921875,58942.27761008523,57632.44921875,58755.159268465904,144104
2023-02-07,58006.6875,58474.483366935485,57632.45080645161,57913.1283266129,32873
2023-02-08,59035.83984375,59222.958195077255,58380.92561410459,58755.16231675911,42558
2023-02-09,59222.95703125,59222.95703125,58287.36529299961,58942.27950977488,48035
2023-02-10,58848.72265625,58942.28183376391,58380.926768680445,58568.04512370827,44786
2023-02-13,58848.72265625,58942.28183376391,58287.367591166534,58848.72265625,59395
2023-02-14,59129.39453125,59784.308711184734,59129.39453125,59503.63120549842,70606
2023-02-15,58193.80078125,59784.306590383836,58006.68245076366,59784.306590383836,58370
2023-02-16,59597.1953125,59597.1953125,58380.926020408166,58474.48519672292,41448
2023-02-17,58568.03515625,59222.949287390176,58380.916833067095,58848.712641024365,28613
2023-02-20,58661.6015625,58942.2790819378,57819.569004186604,58848.71990879187,29846
2023-02-21,58100.24609375,58755.16030092592,58006.68692129629,58661.60112847222,60971
2023-02-22,57164.6484375,57819.56257671849,57071.0892747545,57538.885088482,39178
2023-02-23,58006.6875,58474.483366935485,57538.891633064515,57726.00997983871,37145
2023-02-24,57351.76953125,58568.038705648454,57351.76953125,58287.361203864195,50792
2023-02-27,56603.296875,56883.97438016529,56322.619369834705,56883.97438016529,11155697
2023-02-28,56696.85546875,57445.32880827146,56603.29630130982,56883.97380363037,13715861
2023-03-02,56883.9765625,57819.56828227796,56603.29904656661,56977.535734477795,13095682
2023-03-03,56603.296875,57258.211053719,56603.296875,57071.09271694215,10711405
2023-03-06,57538.88671875,57632.44588414634,56883.972560975606,57164.65005716463,13630602
2023-03-07,56790.41796875,57445.33217926277,56790.41796875,57445.33217926277,11473280
2023-03-08,56416.18359375,56603.30194729478,56041.94688666045,56229.06524020523,14161857
2023-03-09,56229.05859375,56883.97275374376,56041.94026232321,56603.295256603575,14334499
2023-03-10,55667.7109375,55854.82929359243,55293.47422531512,55667.7109375,11902471
2023-03-13,56135.50390625,56322.62225260417,55480.589694010414,56041.944733072916,12779724
2023-03-14,55199.9140625,55667.70994438559,55199.9140625,55574.150768008476,12147346
2023-03-15,55948.375,56416.17077759197,55761.25668896321,56135.493311036786,10482149
2023-03-16,56041.94140625,56322.61890911937,55293.46806526503,55387.02723288815,10611939
2023-03-17,57351.76953125,57351.76953125,56696.855360420064,56883.973694942906,14090110
2023-03-20,56322.61328125,57258.204863995015,56322.61328125,57164.64570572052,9618009
2023-03-21,56416.18359375,56790.420300839556,56229.06524020523,56603.30194729478,8318514
2023-03-22,57164.6484375,57258.2076002455,56603.293461027,57071.0892747545,8978591
2023-03-23,58287.3671875,58287.3671875,56696.86118077849,56696.86118077849,15381057
2023-03-24,58942.27734375,59222.95485491072,58287.36315104167,58661.59983258929,18278602
2023-03-27,58100.24609375,58755.16030092592,58006.68692129629,58568.04195601852,11039331
2023-03-28,58848.72265625,58848.72265625,58100.24923613871,58380.926768680445,11614118
2023-03-29,58661.6015625,58661.6015625,58193.80569677034,58474.48321620814,11216008
2023-03-30,59471.8125,59942.31734572785,59377.71153085443,59942.31734572785,15684377
2023-03-31,60224.61328125,60224.61328125,59942.31040649414,60224.61328125,14094479
2023-04-03,59377.7109375,60224.61965134707,59283.60996929477,60224.61965134707,11973133
2023-04-04,59848.20703125,60036.4089401533,59095.39939563679,59660.005122346694,11120514
2023-04-05,60130.515625,60224.616588419405,59660.010807902974,59942.31369816119,9176149
2023-04-06,58624.90625,59848.218900481545,58624.90625,59754.11792736758,14992747
2023-04-07,61165.62109375,61353.823004807695,60036.409627403846,60036.409627403846,27476120
2023-04-10,61824.33203125,62388.937803224886,60883.322411291854,60977.42337328767,18777166
